populationSize,offspringSize,k-tournament,alpha,its,lso_ON,lso_percen,greedy_percen
100,200,4,0.05,50000,1,0.15,0.15
Iteration,Mean Fitness,Best Fitness
0,inf,206175.8758137286
1,2719048.0224995757,206175.8758137286
2,211839.6889301879,206175.8758137286
3,209307.90832850485,206175.87581372858
4,207945.6546368493,205721.43774205048
5,207708.6812060115,204906.37788697224
6,206684.9974104037,204624.2818377278
7,206083.18270324153,204384.77211179197
8,205659.72221557845,204384.77211179194
9,206441.6168325553,204169.8410608896
10,205701.24242507006,204042.55477584625
11,205110.86477888763,203916.12776974874
12,205011.8917435361,203916.1277697487
13,206059.94523555442,203824.29484892622
14,205202.6096187862,203734.59857896224
15,204799.1954339779,203734.59857896224
16,204982.64193200343,203648.18125848184
17,205718.7885139446,203568.521499443
18,204834.49372983648,203493.00077974694
19,204525.59308928653,203493.00077974694
20,204435.38307617602,203432.26175210954
21,204718.2961286646,203378.4903365149
22,205151.18275652605,203378.4903365149
23,204573.4996228656,203378.49033651486
24,204210.5531047285,203333.50944914378
25,204565.05748831198,203291.5918037032
26,205303.1833603651,203250.78169082242
27,204268.3423562249,203250.78169082242
28,203928.82761956923,203217.41935667812
29,204370.69994221433,203217.41935667812
30,204408.47289381217,203184.1968125795
31,204144.44113883987,203155.33452633923
32,203846.6860452587,203128.48988154167
33,203917.83595517752,203128.48988154167
34,204000.1033397352,203104.39905691223
35,204603.54767607685,203081.35757544666
36,203740.97935034864,202888.73793332593
37,203356.96712594703,202888.7379333259
38,204024.12188734725,202866.39882223072
39,203649.72138801852,202848.05345399163
40,203531.0604646536,202685.72215846987
41,203118.70176417136,202685.72215846987
42,204452.3251993192,202685.72215846987
43,204107.6099463448,202650.18848768165
44,203790.16963019312,201963.16410637012
45,203322.93344449968,201963.16410637012
46,202819.1078463038,201945.26426609096
47,203157.64664661174,201911.0038558769
48,202780.22935453765,201908.26766473506
49,202405.65579140757,201908.14570129968
50,203129.02145168313,201908.14570129968
51,202994.88900862727,201908.14570129968
52,203710.0048973057,201908.14570129968
53,203244.34506512672,201908.14570129963
54,202592.20748444807,201908.14570129963
55,203338.29059974954,201908.14570129963
56,203004.1496652205,201908.14570129963
57,202413.98648407828,201908.14570129963
58,202468.92828303255,201908.14570129963
59,202635.0195197446,201908.14570129963
60,203281.72869706168,201908.14570129963
61,202718.76179996328,201908.14570129963
62,202702.31608978167,201908.14570129963
63,202619.0178780984,201908.14570129963
64,202328.27216353023,201908.14570129963
65,202541.40013737857,201908.14570129963
66,202703.05196142488,201908.14570129963
67,202248.0988398554,201908.14570129963
68,202283.08242723913,201908.14570129963
69,202259.82861662447,201908.14570129963
70,202418.69642972012,201908.14570129963
71,202637.61846136252,201908.14570129963
72,202655.21271614992,201908.14570129963
73,202516.21804625317,201908.14570129963
74,202547.17138551353,201908.14570129963
75,202317.97147875733,201908.14570129963
76,202609.36621875598,201908.14570129963
77,202468.85698926938,201908.14570129963
78,202464.61243058278,201908.14570129963
79,202358.7460040558,201908.14570129963
80,202578.60882809662,201908.14570129963
81,202438.0860715451,201908.14570129963
82,202395.12442131058,201908.14570129963
83,202412.66173166808,201908.14570129963
84,202247.97935877394,201908.14570129963
85,202394.7860114127,201908.14570129963
86,202438.75721685996,201908.14570129963
87,202470.60380083948,201908.14570129963
88,202656.0103255413,201908.14570129963
89,202547.73114534383,201908.14570129963
90,202617.51562260828,201908.14570129963
91,202589.73820506738,201908.14570129963
92,203007.64258869246,201908.14570129963
93,202589.89053139047,201908.14570129963
94,202610.7756957244,201908.14570129963
95,202699.7625667181,201908.14570129963
96,202709.59774376493,201908.14570129963
97,202353.21823259286,201908.14570129963
98,202371.72654821747,201908.14570129963
99,202600.17297330516,201908.14570129963
100,202466.00499537677,201908.14570129963
101,202584.03160047068,201908.14570129963
102,202760.81002646626,201908.14570129963
103,202583.513173083,201908.14570129963
104,202324.95408554722,201908.14570129963
105,202355.36785722667,201908.14570129963
106,202372.28251625475,201908.14570129963
107,202362.01683070726,201866.29233583575
108,202269.69758346662,201866.29233583575
109,202550.6839695178,201866.29233583575
110,202499.4994697004,201866.29233583575
111,202363.7889026928,201866.29233583575
112,203135.57345120772,201866.29233583575
113,202984.47208113983,201866.29233583575
114,203410.6335300638,201866.29233583575
115,203114.22868309318,201866.29233583575
116,202240.15920755322,201866.29233583575
117,202137.2826336325,201866.29233583575
118,202119.95157554976,201866.29233583575
119,202175.49136152014,201866.29233583575
120,202311.78053749749,201866.29233583575
121,202109.02982616788,201866.29233583575
122,202078.17397868232,201866.29233583575
123,202027.4047379455,201866.29233583575
124,202196.8312095191,201866.29233583575
125,202174.8900306362,201866.29233583575
126,202098.84030495965,201866.29233583575
127,202193.0220742755,201770.46715758884
128,202309.868561595,201770.46715758884
129,202172.79861328966,201770.46715758884
130,202074.75837048702,201770.46715758884
131,202311.36874785577,201770.46715758884
132,202736.24200610502,201770.46715758884
133,202771.45448042816,201770.4671575888
134,202133.64758015226,201770.4671575888
135,203153.53854435784,201770.4671575888
136,202662.90617457905,201770.4671575888
137,203036.19753610925,201770.4671575888
138,202302.50004878998,201770.4671575888
139,202191.5017691525,201770.4671575888
140,202469.72970188063,201770.4671575888
141,202581.4655554436,201770.4671575888
142,202099.16487822015,201770.4671575888
143,202275.65648763522,201770.4671575888
144,202188.78706720538,201770.4671575888
145,202325.80934867353,201770.4671575888
146,202429.32436908,201770.4671575888
147,202542.7152116313,201770.4671575888
148,202095.87974881515,201770.4671575888
149,201922.9314229165,201770.4671575888
150,201897.23245986455,201770.4671575888
151,202054.29839684273,201770.4671575888
152,202104.20462986585,201770.4671575888
153,201944.9246858783,201770.4671575888
154,202066.1898936858,201770.4671575888
155,202017.66739920157,201770.4671575888
156,202099.73799671378,201770.4671575888
157,201996.82440112808,201770.4671575888
158,202185.3804380347,201770.4671575888
159,201979.650728816,201770.4671575888
160,202142.77056755434,201770.4671575888
161,202149.0892759617,201770.4671575888
162,202087.70661713943,201733.00530849549
163,201995.11704995125,201667.3952080939
164,202213.34473605358,201667.3952080939
165,202317.34233783424,201637.37499033957
166,201922.93035695434,201637.37499033957
167,201994.41525074092,201637.37499033957
168,203259.372622139,201637.37499033957
169,202547.06475635123,201637.37499033957
170,202266.25803142058,200916.8766819164
171,202027.04077285333,200492.83277919053
172,201718.86933298953,200492.83277919053
173,202253.5306715859,200492.83277919053
174,201121.76275846336,200492.83277919053
175,201458.4734398282,200492.83277919053
176,201657.06471708565,200492.83277919053
177,201656.46411364153,200487.4651384621
178,200904.418753966,200383.93382275186
179,202008.6614868799,200383.93382275186
180,201880.63806582234,200383.93382275186
181,200912.30402140328,200383.93382275186
182,200930.747420192,200383.93382275186
183,201904.33525709115,200383.93382275186
184,201496.11808642893,200383.93382275183
185,201095.09865571128,200383.93382275183
186,201853.97218239706,200383.93382275183
187,201460.66642072203,200383.93382275183
188,201199.86941978417,200383.93382275183
189,201193.111937539,200383.93382275183
190,201055.39538005172,200383.93382275183
191,201195.2434538624,200383.93382275183
192,200941.8565815711,200383.93382275183
193,200661.74421568678,200383.93382275183
194,201283.6101129271,200383.93382275183
195,200878.20141511515,200383.93382275183
196,200935.18720529362,200383.93382275183
197,201396.64558522217,200383.93382275183
198,201059.43650753272,200383.93382275183
199,201054.80364995488,200383.93382275183
200,201098.2315069259,200383.93382275183
201,201093.24516454467,200383.93382275183
202,201450.5251844681,200383.93382275183
203,200847.32125551888,200383.93382275183
204,200906.42699863363,200383.93382275183
205,200909.09906596557,200383.93382275183
206,201056.65268384357,200383.93382275183
207,200953.75399217985,200383.93382275183
208,201222.30651741324,200383.93382275183
209,201585.4344076007,200383.93382275183
210,201924.71661160665,200383.93382275183
211,201207.2505699728,200383.93382275183
212,200791.94717758682,200383.93382275183
213,201002.75220504735,200383.93382275183
214,201031.17464879743,200383.93382275183
215,201750.55795372243,200383.93382275183
216,201970.39308383665,200383.93382275183
217,201284.34171586178,200368.15977909672
